2022 Federal Election House of Representatives Distribution of Preferences By Polling Place [27966 04/07/2022 14:40:29      ]
StateAb,DivisionId,DivisionNm,PPId,PPNm,CountNum,BallotPosition,CandidateId,Surname,GivenNm,PartyAb,PartyNm,SittingMemberFl,CalculationType,CalculationValue
"VIC","201","Bruce","0","ABSENT","2","5","36769","MOODY","James Alexander","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1077"
"VIC","201","Bruce","0","ABSENT","2","5","36769","MOODY","James Alexander","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","27.680"
"VIC","201","Bruce","0","ABSENT","2","5","36769","MOODY","James Alexander","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","106"
"VIC","201","Bruce","0","ABSENT","2","5","36769","MOODY","James Alexander","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","30.720"
"VIC","201","Bruce","0","ABSENT","2","6","36505","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Preference Count","676"
"VIC","201","Bruce","0","ABSENT","2","6","36505","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Preference Percent","17.370"
"VIC","201","Bruce","0","ABSENT","2","6","36505","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Transfer Count","25"
"VIC","201","Bruce","0","ABSENT","2","6","36505","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Transfer Percent","7.250"
"VIC","201","Bruce","0","ABSENT","3","1","36886","SKROBO","Christine Alexandra","LDP","Liberal Democratic Party","N","Preference Count","0"
"VIC","201","Bruce","0","ABSENT","3","1","36886","SKROBO","Christine Alexandra","LDP","Liberal Democratic Party","N","Preference Percent","0.000"
"VIC","201","Bruce","0","ABSENT","3","1","36886","SKROBO","Christine Alexandra","LDP","Liberal Democratic Party","N","Transfer Count","0"
"VIC","201","Bruce","0","ABSENT","3","1","36886","SKROBO","Christine Alexandra","LDP","Liberal Democratic Party","N","Transfer Percent","0.000"
"VIC","201","Bruce","0","ABSENT","3","2","35987","BABET","Bertrand Matthieu","UAPP","United Australia Party","N","Preference Count","840"
"VIC","201","Bruce","0","ABSENT","3","2","35987","BABET","Bertrand Matthieu","UAPP","United Australia Party","N","Preference Percent","21.590"
"VIC","201","Bruce","0","ABSENT","3","2","35987","BABET","Bertrand Matthieu","UAPP","United Australia Party","N","Transfer Count","115"
"VIC","201","Bruce","0","ABSENT","3","2","35987","BABET","Bertrand Matthieu","UAPP","United Australia Party","N","Transfer Percent","17.010"
"VIC","201","Bruce","0","ABSENT","3","3","37641","DEANS","Hayley Elissa","ON","Pauline Hanson's One Nation","N","Preference Count","0"
"VIC","201","Bruce","0","ABSENT","3","3","37641","DEANS","Hayley Elissa","ON","Pauline Hanson's One Nation","N","Preference Percent","0.000"
"VIC","201","Bruce","0","ABSENT","3","3","37641","DEANS","Hayley Elissa","ON","Pauline Hanson's One Nation","N","Transfer Count","0"
"VIC","201","Bruce","0","ABSENT","3","3","37641","DEANS","Hayley Elissa","ON","Pauline Hanson's One Nation","N","Transfer Percent","0.000"
"VIC","201","Bruce","0","ABSENT","3","4","36413","HILL","Julian Christopher","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Count","1851"
"VIC","201","Bruce","0","ABSENT","3","4","36413","HILL","Julian Christopher","ALP","Australian Labor Party (Victorian Branch)","Y","Preference Percent","47.570"
"VIC","201","Bruce","0","ABSENT","3","4","36413","HILL","Julian Christopher","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Count","438"
"VIC","201","Bruce","0","ABSENT","3","4","36413","HILL","Julian Christopher","ALP","Australian Labor Party (Victorian Branch)","Y","Transfer Percent","64.790"
"VIC","201","Bruce","0","ABSENT","3","5","36769","MOODY","James Alexander","LP","Liberal Party of Australia (Victorian Division)","N","Preference Count","1200"
"VIC","201","Bruce","0","ABSENT","3","5","36769","MOODY","James Alexander","LP","Liberal Party of Australia (Victorian Division)","N","Preference Percent","30.840"
"VIC","201","Bruce","0","ABSENT","3","5","36769","MOODY","James Alexander","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Count","123"
"VIC","201","Bruce","0","ABSENT","3","5","36769","MOODY","James Alexander","LP","Liberal Party of Australia (Victorian Division)","N","Transfer Percent","18.200"
"VIC","201","Bruce","0","ABSENT","3","6","36505","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Preference Count","0"
"VIC","201","Bruce","0","ABSENT","3","6","36505","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Preference Percent","0.000"
"VIC","201","Bruce","0","ABSENT","3","6","36505","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Transfer Count","-676"
"VIC","201","Bruce","0","ABSENT","3","6","36505","KIRWAN","Matthew Thomas","GVIC","The Australian Greens - Victoria","N","Transfer Percent","-100.000"
"VIC","201","Bruce","0","ABSENT","4","1","36886","SKROBO","Christine Alexandra","LDP","Liberal Democratic Party","N","Preference Count","0"
"VIC","201","Bruce","0","ABSENT","4","1","36886","SKROBO","Christine Alexandra","LDP","Liberal Democratic Party","N","Preference Percent","0.000"
