2022 Federal Election House of Representatives Votes By Division [Event:27966 Phase:FinalResults Generated:2022-07-19T10:29:59 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
DivisionID,DivisionNm,StateAb,Enrolment,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,TotalPercentage
244,Pearce,WA,115212,74908,4633,409,3938,17334,101222,87.86
245,Perth,WA,122580,76606,6201,578,8140,16584,108109,88.19
175,Petrie,QLD,124827,79642,3580,283,5601,21320,110426,88.46
176,Rankin,QLD,108054,66925,2898,359,2378,18815,91375,84.56
144,Reid,NSW,115540,80818,3215,379,4383,15981,104776,90.68
145,Richmond,NSW,118638,90091,1371,264,4196,11286,107208,90.37
250,Riverina,NSW,116029,93917,2166,83,3248,7044,106458,91.75
146,Robertson,NSW,112538,84392,2846,270,3152,11824,102484,91.07
177,Ryan,QLD,111322,73149,3937,283,4037,21050,102456,92.04
232,Scullin,VIC,108583,73505,3951,459,2518,16183,96616,88.98
148,Shortland,NSW,116245,87524,3175,278,3088,12701,106766,91.85
307,Solomon,NT,71843,49055,1055,140,3255,3631,57136,79.53
325,Spence,SA,129099,86668,4379,706,2807,17201,111761,86.57
190,Sturt,SA,128977,90151,4741,537,3179,20543,119151,92.38
247,Swan,WA,121189,75900,5909,471,5865,17436,105581,87.12
149,Sydney,NSW,125419,81465,4985,446,5968,13760,106624,85.01
248,Tangney,WA,122190,82893,4683,334,4828,19081,111819,91.51
233,Wannon,VIC,115709,88269,2310,247,3788,12090,106704,92.22
151,Warringah,NSW,105278,78142,3032,233,3126,11630,96163,91.34
251,Watson,NSW,108714,78219,3787,408,2058,10500,94972,87.36
152,Wentworth,NSW,103716,72029,2463,260,3058,13390,91200,87.93
153,Werriwa,NSW,126048,89963,3792,452,6304,11082,111593,88.53
150,Whitlam,NSW,125393,100721,2625,290,2777,8561,114974,91.69
178,Wide Bay,QLD,115315,79180,2378,187,4390,16137,102272,88.69
234,Wills,VIC,108402,69499,4219,325,6543,15467,96053,88.61
316,Wright,QLD,123792,77337,4764,273,5141,22151,109666,88.59
